Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
"Artistic temperament', development of concept",Artistic temperament (Concept),Concept,[Validation] 艺术理论概念。,Validation,0.75,
Baciccio',Giovanni Battista Gaulli,Person,"[Disambiguation] ""Baciccio"" 是 Giovanni Battista Gaulli 的昵称。",Disambiguation,0.24,
Monsù Desiderio',Monsù Desiderio (François de Nomé / Didier Barra),Person,[Disambiguation] 17世纪那不勒斯画派化名，主要指 François de Nomé。,Disambiguation,0.46,
Rosichino',Francesco Rosichino,Person,[Disambiguation] 17世纪罗马礼仪官 (Master of Ceremonies)。,Disambiguation,0.62,
Status-seeking' by artists in 17th-century Rome,Status-seeking (Concept),Concept,[Validation] 社会学/艺术史概念。,Validation,0.54,Low_Similarity; 
A Dance to the Music of Time,A Dance to the Music of Time (Poussin),Work,[Validation] 普桑画作。,Validation,0.85,
A Donor Presented to the Virgin,A Donor Presented to the Virgin,Work,[Validation] 画作主题/标题。,Validation,1.0,
A Seaport,A Seaport,Work,[Validation] 画作标题（可能是克劳德·洛兰）。,Validation,1.0,
A storm at sea,A storm at sea,Work,[Validation] 画作标题。,Validation,1.0,
"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",Study for the Fountain of the Four Rivers,Work,[Validation] 贝尼尼作品草图。,Validation,0.78,
A. C. Sewter,Albert Charles Sewter,Person,[Full Name] 20世纪艺术史学家。,Full Name,0.61,
A.M. Zanetti the Elder with Marchese Gerini,A.M. Zanetti the Elder with Marchese Gerini,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。,Category Fix,1.0,
Abbey of Monte Cassino,Abbey of Monte Cassino,Place,[Validation] 地点（修道院）。,Validation,1.0,
Abbey of Santa Giustina,Abbey of Santa Giustina,Place,[Validation] 地点（帕多瓦修道院）。,Validation,1.0,
Abel Desjardins,Abel Desjardins,Person,[Validation] 雕塑家/灰泥艺术家。,Validation,1.0,
Abel-Fran?ois Poisson de Vandières,"Abel-François Poisson, marquis de Marigny",Person,"[OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。",OCR Fix,0.69,
Abigail,Abigail,Person,[Validation] 圣经人物。,Validation,1.0,
Abigail giving Presents to David,Abigail giving Presents to David,Work,[Validation] 画作主题。,Validation,1.0,
Abraham Brueghel,Abraham Brueghel,Person,[Validation] 佛兰芒画家。,Validation,1.0,
Abraham Nicolas Amelot de la Houssaye,Abraham Nicolas Amelot de la Houssaye,Person,[Validation] 历史学家。,Validation,1.0,
Abruzzo,Abruzzo,Place,[Validation] 意大利大区。,Validation,1.0,
Academy at Parma,Accademia di Belle Arti di Parma,Organization,[Disambiguation] 帕尔马美术学院。,Disambiguation,0.62,
Académie Fran?aise,Académie Française,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。",OCR Fix,0.94,
Accademia Albrizziana,Accademia Albrizziana,Organization,[Validation] 威尼斯文学学会 (Albrizzi)。,Validation,1.0,
Accademia Carrara,Accademia Carrara,Place/Organization,[Validation] 贝加莫的美术馆/学院。,Validation,1.0,
Accademia degli Umoristi,Accademia degli Umoristi,Organization,[Validation] 罗马文学学会。,Validation,1.0,
Accademia dei Cacadubbi,Accademia dei Cacadubbi,Organization,[Validation] 戏谑性学会 (Humorous Academy)。,Validation,1.0,
Accademia dei Concordi di Rovigo,Accademia dei Concordi (Rovigo),Organization,[Validation] 罗维戈的学会。,Validation,0.92,
Accademia dei Lincei,Accademia dei Lincei,Organization,[Validation] 猞猁之眼国家科学院。,Validation,1.0,
Accademia del Disegno,Accademia delle Arti del Disegno,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。,Disambiguation,0.79,
Accademia di Belle Arti di Venezia,Accademia di Belle Arti di Venezia,Organization,[Validation] 威尼斯美术学院。,Validation,1.0,
Accademia di Firenze,Accademia di Belle Arti di Firenze,Organization,[Disambiguation] 佛罗伦萨美术学院。,Disambiguation,0.74,
Accademia di Pittura e Scultura,Accademia di San Luca / Académie Royale,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。,Context,0.54,Low_Similarity; 
Accademia di San Luca,Accademia di San Luca,Organization,[Validation] 罗马圣路卡学院。,Validation,1.0,
Accbremia Albrizziana,Accademia Albrizziana,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。",OCR Fix,0.9,
Achille Bosisio,Achille Bosisio,Person,[Validation] 威尼斯历史作家。,Validation,1.0,
Achille Neri,Achille Neri,Person,[Validation] 人物。,Validation,1.0,
"Acqua, Cristoforo dall'",Cristoforo dall'Acqua,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.73,
Adam Bartsch,Adam von Bartsch,Person,[Full Name] 奥地利学者/版画家。,Full Name,0.86,
"Adda, Cardinal d'",Ferdinando d'Adda,Person,[Disambiguation] 费迪南多·达达枢机主教。,Disambiguation,0.47,
Addison,Joseph Addison,Person,[Category Fix] 误标为 Work (E22)。英国作家/政治家。,Category Fix,0.67,
Adolf Salvatore Cavallo,Adolph S. Cavallo,Person,[Full Name] 纺织品策展人/学者。,Full Name,0.7,
Adolfo Venturi,Adolfo Venturi,Person,[Validation] 艺术史学家。,Validation,1.0,
Adonis,Adonis,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。,Category Fix,1.0,
Adoration of the Magi,Adoration of the Magi,Work,[Validation] 绘画题材。,Validation,1.0,
Adriaen van der Werff,Adriaen van der Werff,Person,[Validation] 荷兰画家。,Validation,1.0,
Adriatic Sea,Adriatic Sea,Place,[Validation] 地名。,Validation,1.0,
Aedes Barberina ad Quirinalem,Aedes Barberina ad Quirinalem,Work,[Validation] Girolamo Teti 的书名。,Validation,1.0,
Aeneas,Aeneas,Person (Myth),[Validation] 神话人物。,Validation,1.0,
Aeneas de Caprara,Enea Silvio Caprara,Person,[Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。,Disambiguation,0.72,
Aeneid,Aeneid,Work,[Validation] 维吉尔史诗。,Validation,1.0,
Agamemnon,Agamemnon,Person (Myth),[Validation] 神话人物。,Validation,1.0,
Agnolo Galli,Agnolo Galli,Person,[Validation] 罗马官员/赞助人。,Validation,1.0,
Agostino Andrea Chigi,Agostino Chigi,Person,[Disambiguation] 基吉家族成员。,Disambiguation,0.8,
Agostino Barelli,Agostino Barelli,Person,[Validation] 巴洛克建筑师。,Validation,1.0,
Agostino Ciampelli,Agostino Ciampelli,Person,[Validation] 画家。,Validation,1.0,
Agostino Mascardi,Agostino Mascardi,Person,[Validation] 历史学家/修辞学家。,Validation,1.0,
Agostino Masucci,Agostino Masucci,Person,[Validation] 画家。,Validation,1.0,
Agostino Mitelli,Agostino Mitelli,Person,[Validation] 画家 (Quadraturista)。,Validation,1.0,
Agostino Sagredo,Agostino Sagredo,Person,[Validation] 威尼斯参议员/收藏家。,Validation,1.0,
Agostino Tassi,Agostino Tassi,Person,[Validation] 画家。,Validation,1.0,
"Aix-la-Chapelle, Peace of",Treaty of Aix-la-Chapelle,Event,[Disambiguation] 亚琛和约。,Disambiguation,0.6,
Alan Noel Latimer Munby,A. N. L. Munby,Person,[Validation] 图书馆学家。,Validation,0.59,Low_Similarity; 
"Albani, Cardinal Annibale",Annibale Albani,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.4,Low_Similarity; 
"Albani, Francesco",Francesco Albani,Person,[Category Fix] 原文误标为 Place (E53)。波伦亚派画家。,Category Fix,0.55,Low_Similarity; 
"Albani, Gianfrancesco (Pope Clement XI)",Clement XI,Person,[Disambiguation] 教皇克莱门特十一世。,Disambiguation,0.41,
"Albergati-Capacelli, Francesco",Francesco Albergati Capacelli,Person,[Category Fix] 原文误标为 Place (E53)。剧作家/侯爵。,Category Fix,0.61,
Albergo del Moretto,Albergo del Moretto,Place,[Validation] 地点（旅馆）。,Validation,1.0,
Albert Ilg,Albert Ilg,Person,[Validation] 艺术史学家。,Validation,1.0,
Alberto Cametti,Alberto Cametti,Person,[Validation] 音乐学家。,Validation,1.0,
Alberto Vecchi,Alberto Vecchi,Person,[Validation] 学者。,Validation,1.0,
Albrecht Dürer,Albrecht Dürer,Person,[Validation] 丢勒。,Validation,1.0,
"Albrizzi, Almor¨°",Almorò Albrizzi,Person,"[OCR Fix] 修正 ""Almor¨°"" 为 ""Almorò""。",OCR Fix,0.5,Low_Similarity; 
"Albrizzi, Giambattista",Giambattista Albrizzi,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.56,Low_Similarity; 
Aldo De Rinaldis,Aldo De Rinaldis,Person,[Validation] 艺术史学家。,Validation,1.0,
Aldo Ravà,Aldo Ravà,Person,[Validation] 威尼斯研究学者。,Validation,1.0,
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",Pietro Aldobrandini,Person,[Disambiguation] 彼得罗·阿尔多布兰迪尼枢机。,Disambiguation,0.31,
"Aldobrandini, Ippolito (Pope Clement VIII)",Clement VIII,Person,[Disambiguation] 教皇克莱门特八世。,Disambiguation,0.44,
Alessandro Albani,Alessandro Albani,Person,[Validation] 亚历山德罗·阿尔多布兰迪尼枢机。,Validation,1.0,
Alessandro Algardi,Alessandro Algardi,Person,[Validation] 雕塑家。,Validation,1.0,
Alessandro Baudi di Vesme,Alessandro Baudi di Vesme,Person,[Validation] 艺术史学家。,Validation,1.0,
Alessandro Bettagno,Alessandro Bettagno,Person,[Validation] 艺术史学家。,Validation,1.0,
Alessandro Borgia,Alessandro Borgia,Person,[Validation] 亚历山德罗·波吉亚。,Validation,1.0,
Alessandro Farnese (cardinal),Alessandro Farnese (Cardinal),Person,[Validation] 法尔内塞枢机。,Validation,1.0,
