Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
A Scene from the Aeneid,,,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。,,,No results found
A.M. Zanetti the Elder with Marchese Gerini,,,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。,,,No results found
Abate Scarselli,,,Person,可能是 Flaminio Scarselli (文学家)。,,,No results found
Abigail giving Presents to David,,,Work,[Validation] 画作主题。,,,No results found
Accademia Albrizziana,,,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。",,,No results found
Accademia dei Cacadubbi,,,Organization,[Validation] 戏谑性学会 (Humorous Academy)。,,,No results found
Accademia di San Luca / Académie Royale,,,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。,,,No results found
Achille Bosisio,,,Person,[Validation] 威尼斯历史作家。,,,No results found
Aedes Barberina ad Quirinalem,,,Work,[Validation] Girolamo Teti 的书名。,,,No results found
Albergo del Moretto,,,Place,[Validation] 地点（旅馆）。,,,No results found
Allegory of Clemency,,,Work,[Validation] 寓意画主题。,,,No results found
Allegory of Coral fishing,,,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。,,,No results found
Allegory of the Education of the Crown Prince,,,Work,[Validation] 寓意画主题。,,,No results found
Almorò Pisani,,,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。",,,No results found
Altar Paintings (San Canciano),,,Work,[Validation] 祭坛画组。,,,No results found
Altar of Friendship,,,Work,[Validation] 纪念碑/画作主题。,,,No results found
Altar of Tranquility and Rural Life,,,Work,[Validation] 纪念碑/画作主题。,,,No results found
Altar of Wealth and Apollo,,,Work,[Validation] 纪念碑/画作主题。,,,No results found
Altarpiece for Chiesa Nuova,,,Work,[Validation] 祭坛画（可能是鲁本斯）。,,,No results found
Altarpiece for Santa Maria dei Cappuccini,,,Work,[Validation] 祭坛画。,,,No results found
Altarpiece for St. Sebastian,,,Work,[Validation] 祭坛画。,,,No results found
Altarpiece for the Augustinian Church,,,Work,[Validation] 祭坛画。,,,No results found
Altarpieces for the Royal Chapel,,,Work,[Validation] 祭坛画组。,,,No results found
Ambrogio Mazenta,,,Person,17世纪巴尔纳比特修士/建筑师。,,,No results found
Andromache weeping before Aeneas,,,Work,[Validation] 画作主题。,,,No results found
Angels carrying the Instruments of the Passion,,,Work,[Validation] 绘画主题。,,,No results found
Annamaria Gabrielli,,,Person,[Validation] 学者/档案学家。,,,No results found
Annan Gallery,,,Organization,[Validation] 画廊。,,,No results found
Annibale Laparelli,,,Person,[Validation] 建筑师/雕塑家 (16世纪)。,,,No results found
Anti-papal satire (Alexander VII),,,Work/Concept,[Validation] 历史文献/概念。,,,No results found
Antichiesetta (San Marco),,,Place,[Context] 圣马可教堂的前厅部分。,,,No results found
Antichità di Palazzi,,,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。",,,No results found
Anton Francesco Farsetti,,,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。,,,No results found
"Antonino Maresca, Duca di Serracapriola",,,Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。",,,No results found
Antonio Maria Visconti,,,Person,米兰贵族。,,,No results found
Antonio degli Effetti,,,Person,[Reconstruction] 罗马贵族/收藏家。,,,No results found
Apollo conducting Frederick Barbarossa's bride,,,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。,,,No results found
Apotheosis of the Pisani Family,,,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。,,,No results found
Archbishop of Tarsus,,,Person,[Category Fix] 原文误标为 Man-Made Object。可能是指某一具体领衔主教（如 Ferdinando d'Adda）。,,,No results found
Archivio Comunale di Treviso,,,Place,[Validation] 特雷维索市政档案馆。,,,No results found
Archivio Mediceo del Principato,,,Place,[Validation] 美第奇家族档案。,,,No results found
Archivio del Governatorato di Roma,,,Place/Organization,[Abbreviation] 罗马总督府档案馆。,,,No results found
Archivio della Compagnia di Gesù,,,Place/Organization,[OCR Fix] 单词粘连修复。,,,No results found
Archivio di Stato di Venezia (Sezione Notarile),,,Organization,[Category Fix] | [Category Fix] 威尼斯国家档案馆公证处。,,,No results found
Archivio di Stato di Venezia (Stampe),,,Organization,[Category Fix] 版画/印刷品部门。,,,No results found
Ariadne being woken by Love,,,Work,[Validation] 绘画主题。,,,No results found
Art patronage in 17th-century Munich,,,Concept,[Category Fix] 艺术赞助研究主题。,,,No results found
