Refined_Formal_Name,Original-QID,Second-Query_QID,Third-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic,Third-Query_Label,Third-Query_Description,Third-Query_Logic
A Scene from the Aeneid,,,Q944752,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。,,,No results found,Fable,2004 video game,Deep Match via 'fable' (From Notes): Fable (Score: 95.0)
A.M. Zanetti the Elder with Marchese Gerini,,,Q106566678,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。,,,No results found,Caricature,painting by Nexhat Krasniqi,Deep Match via 'Caricature' (From Notes): Caricature (Score: 105.0)
Abate Scarselli,,,Q54854824,Person,可能是 Flaminio Scarselli (文学家)。,,,No results found,Flaminio Scarselli,born 1705; died 1776,Deep Match via 'Flaminio Scarselli' (From Notes): Flaminio Scarselli (Score: 95.0)
Abigail giving Presents to David,,,,Work,[Validation] 画作主题。,,,No results found,,,
Accademia Albrizziana,,,Q61960994,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。",,,No results found,Albrizzi,family name,Deep Match via 'Albrizzi' (From Notes): Albrizzi (Score: 95.0)
Accademia dei Cacadubbi,,,,Organization,[Validation] 戏谑性学会 (Humorous Academy)。,,,No results found,,,
Accademia di San Luca / Académie Royale,,,Q1123462,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。,,,No results found,ConTeXt,general-purpose document processor,Deep Match via 'Context' (From Notes): ConTeXt (Score: 95.0)
Achille Bosisio,,,,Person,[Validation] 威尼斯历史作家。,,,No results found,,,
Aedes Barberina ad Quirinalem,,,,Work,[Validation] Girolamo Teti 的书名。,,,No results found,,,
Albergo del Moretto,,,,Place,[Validation] 地点（旅馆）。,,,No results found,,,
Allegory of Clemency,,,,Work,[Validation] 寓意画主题。,,,No results found,,,
Allegory of Coral fishing,,,Q528968,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。,,,No results found,Jacopo Zucchi,Florentine painter (1542-1596),Deep Match via 'Jacopo Zucchi' (From Notes): Jacopo Zucchi (Score: 95.0)
Allegory of the Education of the Crown Prince,,,,Work,[Validation] 寓意画主题。,,,No results found,,,
Almorò Pisani,,,,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。",,,No results found,,,
Altar Paintings (San Canciano),,,,Work,[Validation] 祭坛画组。,,,No results found,,,
Altar of Friendship,,,,Work,[Validation] 纪念碑/画作主题。,,,No results found,,,
Altar of Tranquility and Rural Life,,,Q59716323,Work,[Validation] 纪念碑/画作主题。,,,No results found,Rural life,"painting by Jan Brueghel the Elder, Prado",Deep Match via 'Rural Life' (Segment): Rural life (Score: 90.0)
Altar of Wealth and Apollo,,,Q665812,Work,[Validation] 纪念碑/画作主题。,,,No results found,Apollo,male given name,Deep Match via 'Apollo' (Segment): Apollo (Score: 80.0)
Altarpiece for Chiesa Nuova,,,,Work,[Validation] 祭坛画（可能是鲁本斯）。,,,No results found,,,
Altarpiece for Santa Maria dei Cappuccini,,,,Work,[Validation] 祭坛画。,,,No results found,,,
Altarpiece for St. Sebastian,,,,Work,[Validation] 祭坛画。,,,No results found,,,
Altarpiece for the Augustinian Church,,,,Work,[Validation] 祭坛画。,,,No results found,,,
Altarpieces for the Royal Chapel,,,,Work,[Validation] 祭坛画组。,,,No results found,,,
Ambrogio Mazenta,,,,Person,17世纪巴尔纳比特修士/建筑师。,,,No results found,,,
Andromache weeping before Aeneas,,,,Work,[Validation] 画作主题。,,,No results found,,,
Angels carrying the Instruments of the Passion,,,,Work,[Validation] 绘画主题。,,,No results found,,,
Annamaria Gabrielli,,,,Person,[Validation] 学者/档案学家。,,,No results found,,,
Annan Gallery,,,,Organization,[Validation] 画廊。,,,No results found,,,
Annibale Laparelli,,,,Person,[Validation] 建筑师/雕塑家 (16世纪)。,,,No results found,,,
Anti-papal satire (Alexander VII),,,,Work/Concept,[Validation] 历史文献/概念。,,,No results found,,,
Antichiesetta (San Marco),,,Q1123462,Place,[Context] 圣马可教堂的前厅部分。,,,No results found,ConTeXt,general-purpose document processor,Deep Match via 'Context' (From Notes): ConTeXt (Score: 95.0)
Antichità di Palazzi,,,Q131469959,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。",,,No results found,Di Roma,Georgian pizzeria chain,Deep Match via 'di Roma' (From Notes): Di Roma (Score: 95.0)
Anton Francesco Farsetti,,,Q7200212,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。,,,No results found,Place,family name,Deep Match via 'Place' (From Notes): Place (Score: 95.0)
"Antonino Maresca, Duca di Serracapriola",,,Q51961,Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。",,,No results found,Serracapriola,Italian comune,Deep Match via 'Serracapriola' (From Notes): Serracapriola (Score: 95.0)
Antonio Maria Visconti,,,,Person,米兰贵族。,,,No results found,,,
Antonio degli Effetti,,,Q7299999,Person,[Reconstruction] 罗马贵族/收藏家。,,,No results found,ReConStruction,"science fiction convention held in Raleigh, NC, USA",Deep Match via 'Reconstruction' (From Notes): ReConStruction (Score: 95.0)
Apollo conducting Frederick Barbarossa's bride,,,,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。,,,No results found,,,
Apotheosis of the Pisani Family,,,Q2060988,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。,,,No results found,Villa Pisani,"palace and museum in Stra, Veneto, Italy",Deep Match via 'Villa Pisani' (From Notes): Villa Pisani (Score: 95.0)
