Refined_Formal_Name,Count,Refined_Category,Original_Entry,Status/Notes
Sant'Andrea al Quirinale,4,Place,Church of Sant'Andrea al Quirinale | S. Andrea | Sant'Andrea al Quirinale | St. Andrew's Temple Church,[Ambiguous] 可能是 Quirinale 或 Della Valle，视语境。 | [Category Fix] 原文误标为 Work。贝尼尼建筑。 | [Context] 可能是指 Quirinale 的 Jesuit Novitiate church。 | 罗马教堂（贝尼尼）。
"Abel-François Poisson, marquis de Marigny",3,Person,"Abel-Fran?ois Poisson de Vandières | Marigny, Marquis de | Vandi豕res, Marquis de...","[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。"
Johann Matthias von der Schulenburg,3,Person,"Johann Matthias von der Schulenburg | Marshal Schulenburg | Schulenburg, Marshal Johann Matthias",[Category Fix] 威尼斯共和国元帅，重要的艺术收藏家。 | [Validation] 陆军元帅/威尼斯收藏家。 | 威尼斯元帅，重要收藏家。
Camillo Astalli,3,Person,"Astalli (Pamfili), Camillo | Camillo Astalli | Pamfili (Astalli), Camillo",[Disambiguation] 卡米洛·阿斯塔利枢机。 | [Validation] 枢机主教。 | 曾被 Pamphilj 家族收养的红衣主教 (Cardinal-Nephew)。
Clemens August of Bavaria,3,Person,"Clemens August of Bavaria | Clemens August, Archbishop-Elector of Cologne | Kufürst Clemens August",[Category Fix] 原文误标为 Man-Made Object。科隆选帝侯。 | [Category Fix] 原文误标为 Work。 | [Validation] 科隆选帝侯。
Gaspard Dughet,3,Person,"Dughet, Gaspard (Gaspard Poussin) | Gaspard Dughet | Poussin, Gaspard",[Validation] 画家。 | [Validation] 风景画家。 | 别名 Gaspard Poussin，风景画家。
George I of Great Britain,3,Person,"George I of Great Britain | George I, King of England | King George I",[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 同上。 | [Validation] 英国国王。
Giovanni Maria Sasso,3,Person,G.M. Sasso | Giovanni Maria Sasso | Giuseppe Maria Sasso,[Correction] 威尼斯画商 Sasso 通常名为 Giovanni Maria。可能是误记。 | [Disambiguation] 威尼斯画商/修复师。 | [Validation] 威尼斯画商。
Gregory XV,3,Person,"Alessandro Ludovisi | Gregory XV | Ludovisi, Alessandro (Pope Gregory XV)",[Disambiguation] 亚历山德罗·卢多维西 (教皇格里高利十五世)。 | [Disambiguation] 教皇格里高利十五世。 | [Validation] 教皇格里高利十五世。
"Grey Brydges, 5th Baron Chandos",3,Person,"Brydges, Grey | Chandos, Grey Brydges, 5th Lord | Grey Brydges, 5th Baron Chandos","[Disambiguation] ""King of the Cotswolds""。 | [Validation] 英国贵族。 | [Validation] 贵族。"
