Refined_Formal_Name,Refined_Category,Original_Entry,Status/Notes
"Abel-François Poisson, marquis de Marigny",Person,Abel-Fran?ois Poisson de Vandières,"[OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。"
"Abel-François Poisson, marquis de Marigny",Person,"Marigny, Marquis de",蓬帕杜夫人的弟弟，法国皇家建筑总监。
"Abel-François Poisson, marquis de Marigny",Person,"Vandi豕res, Marquis de...","[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。"
Abraham Brueghel,Person,Abraham Brueghel,[Validation] 佛兰芒画家。
Abraham Brueghel,Person,"Breughel, Abram",[Disambiguation] 佛兰芒静物画家。
Abraham Nicolas Amelot de la Houssaye,Person,Abraham Nicolas Amelot de la Houssaye,[Validation] 历史学家。
Abraham Nicolas Amelot de la Houssaye,Person,"Amelot de la Houssaye, A. N.",[Reconstruction] 名字倒装复原。
Accademia Albrizziana,Organization,Accademia Albrizziana,[Validation] 威尼斯文学学会 (Albrizzi)。
Accademia Albrizziana,Organization,Accbremia Albrizziana,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。"
Accademia degli Umoristi,Organization,Accademia degli Umoristi,[Validation] 罗马文学学会。
Accademia degli Umoristi,Group,Umoristi,罗马文学学院。
Accademia dei Lincei,Organization,Accademia dei Lincei,[Validation] 猞猁之眼国家科学院。
Accademia dei Lincei,Organization,Lincean Academy,[Category Fix] 原文误标为 Place。
Accademia dell'Arcadia,Group,"Arcadia, Society of",[Disambiguation] 阿卡迪亚学院。
Accademia dell'Arcadia,Organization,Society of Arcadia,[Category Fix] 阿卡迪亚学院。
Adriaen van der Werff,Person,Adriaen van der Werff,[Validation] 荷兰画家。
Adriaen van der Werff,Person,"Werff, Adrian van der",荷兰画家。
Agostino Chigi,Person,Agostino Andrea Chigi,[Disambiguation] 基吉家族成员。
Agostino Chigi,Person,"Chigi, Agostino 'il Magnifico'",[Reconstruction] 文艺复兴银行家。
Alessandro Farnese (Cardinal),Person,Alessandro Farnese (cardinal),[Validation] 法尔内塞枢机。
Alessandro Farnese (Cardinal),Person,"Farnese, Cardinal Alessandro",[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。
Alessandro Marchesini,Person,Alessandro Marchesini,[Validation] 画家。
Alessandro Marchesini,Person,"Marchesini, Alessandro",[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。
Alessandro Peretti di Montalto,Person,Alessandro Peretti di Montalto,[Validation] 枢机主教。
Alessandro Peretti di Montalto,Person,"Peretti-Montalto, Cardinal Alessandro",红衣主教蒙塔尔托。
Alessandro Vassalli,Person,Alessandro Vasalli,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。"
Alessandro Vassalli,Person,"Vassalli, Alessandro",
Alessandro Zen,Person,Alessandro Zen,[Validation] 威尼斯贵族。
Alessandro Zen,Person,"Zen, Procurator Alessandro",威尼斯检察官。
Alexander VII,Person,"Chigi, Fabio (Pope Alexander VII)",[Disambiguation] 教皇亚历山大七世。
Alexander VII,Person,Pope Alexander VII,
Alexander VIII,Person,"Ottoboni, Pietro (Pope Alexander VIII)",教皇亚历山大八世。
Alexander VIII,Person,Pope Alexander VIII,
Alfonso Gesualdo,Person,Alfonso Gesualdo,[Validation] 枢机主教。
Alfonso Gesualdo,Person,"Gesualdo, Cardinal",[Disambiguation] 枢机主教。
Allegory of Divine Providence and Barberini Power,Work,Allegory of Divine Providence and Barberini Power,[Validation] 皮耶特罗·达·科尔托纳壁画。
Allegory of Divine Providence and Barberini Power,Work,Frescoes in Palazzo Barberini Salone,[Disambiguation] Pietro da Cortona 壁画。
Alvise Mocenigo,Person,Alvise Mocenigo,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。
Alvise Mocenigo,Person,"Mocenigo, Doge Alvise",威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。
Ambroise Dubois,Person,Ambroise Dubois,[Validation] 画家 (枫丹白露画派)。
Ambroise Dubois,Person,"Dubois, Ambrose",[Reconstruction] 枫丹白露画派画家。
Andrea Ferreri,Person,Andrea Ferreri,[Validation] 巴洛克雕塑家。
Andrea Ferreri,Person,"Ferrerio, Andrea","[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。"
Andrea Gerini,Person,Andrea Gerini,[Validation] 佛罗伦萨贵族/收藏家。
Andrea Gerini,Person,"Gerini, Marchese Andrea",[Category Fix] 原文误标为 Man-Made Object。佛罗伦萨收藏家。
Andrea del Rosso,Person,Andrea del Rosso,[Validation] 佛罗伦萨收藏家。
Andrea del Rosso,Person,"Rosso, Andrea del (grandfather...)",佛罗伦萨收藏家。
Andrew Fountaine,Person,Andrew Fountaine,[Validation] 英国收藏家。
Andrew Fountaine,Person,"Fountaine, Sir Andrew",[Category Fix] 原文误标为 Work。
Anna Maria Luisa de' Medici,Person,Anna Maria Luisa de' Medici,[Validation] 美第奇家族最后一位直系成员。
Anna Maria Luisa de' Medici,Person,"Medici, Anna Maria Ludovica de'...",普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。
Anne of Austria,Person,Anne d’Autriche,[Validation] 奥地利的安妮 (法国王后)。
Anne of Austria,Person,"Anne of Austria, Regent of France",[Category Fix] 原文误标为 Place。
"Anne, Queen of Great Britain",Person,Anne of Great Britain,[Validation] 安妮女王。
"Anne, Queen of Great Britain",Person,"Anne, Queen of England",[Validation] 安妮女王。
Anne-Marie du Boccage,Person,Anne-Marie du Boccage,[Validation] 法国作家。
Anne-Marie du Boccage,Person,"Boccage, Mme de",[Disambiguation] 法国女作家。
Anton Raphael Mengs,Person,Anton Raphael Mengs,[Validation] 新古典主义画家。
Anton Raphael Mengs,Person,"Mengs, Anton Rafael",德国新古典主义画家。
Antonio Barberini,Person,Antonio Barberini,[Validation] 枢机主教。
Antonio Barberini,Person,Cardinal Antonio Barberini,[Category Fix] 原文误标为 Work。
Antonio Francesco Gori,Person,Antonio Francesco Gori,[Validation] 古物学家 (Museum Florentinum)。
Antonio Francesco Gori,Person,"Gori, A. F.",[Reconstruction] 佛罗伦萨古物学家 (Museum Florentinum)。
Antonio Maria Antoniazzi,Person,"Antonazzi, Antonio Maria",[Reconstruction] 名字倒装复原。
Antonio Maria Antoniazzi,Person,Antonio Maria Antoniazzi,[Validation] 天文学家/学者。
Antonio Schinella Conti (Abate Conti),Person,Antonio Schinella Conti,[Validation] 作家/哲学家。
Antonio Schinella Conti (Abate Conti),Person,"Conti, Antonio",[Validation] 威尼斯作家。
Antonio Vallisneri,Person,Antonio Vallisneri,[Validation] 科学家/医生。
Antonio Vallisneri,Person,"Vallisnieri, Antonio",[Spelling Fix] 科学家/医生。
Apollo and Daphne,Work,Apollo Chasing Daphne,[Validation] 绘画/雕塑主题。
Apollo and Daphne,Work,Daphne and Apollo,[Validation] 绘画/雕塑主题。
Apostolic Palace,Place,Apostolic Palace,[Validation] 梵蒂冈宗座宫。
Apostolic Palace,Place,Vatican palace,[Category Fix] 原文误标为 Man-Made Object。
